T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
36387, -650, -278, 576, 53620, 38360, -39690
36407, -904, -440, 519, 83930, 177450, -89180
36427, -1069, -560, 757, 44380, 138390, -88830
36447, -944, -337, 1029, 4900, 55860, -66920
36467, -622, -126, 525, 12460, -20930, -13230
36487, -749, -241, 460, 73850, -88340, 48440
36507, -660, -70, 612, 80220, -69090, 50820
36527, -681, -36, 653, 52500, -14560, 26320
36547, -598, 159, 686, 45430, -20230, 23660
36567, -807, -468, 1998, 108080, -18830, 32410
36587, -440, -158, 672, 876050, -187320, 132160
36607, -1187, 1997, -706, 1503180, -409640, 18200
36627, -645, 1077, 334, 1158780, -452900, -442610
36647, -738, 326, -130, 175070, -78750, -162820
36667, -664, 132, -61, -33670, 96110, 44730
36687, -599, 209, 64, 32830, 34860, 40460
36707, -680, 559, 291, 37240, -49000, -46830
36727, -624, 608, 229, 12600, -81690, -89600
36747, -709, 751, 438, 8540, -85120, -113470
36767, -793, 793, 635, 9800, -99540, -147840
36787, -922, 725, 925, -48510, -42140, -77980
36807, -917, 576, 953, -73640, 56770, 69580
36827, -782, 714, 521, -22540, 89530, 99750
36847, -703, 673, 406, -7840, 80150, 43960
36867, -728, 628, 419, 8960, 71190, 7560
36887, -721, 612, 328, 33670, 51380, -14000
36907, -668, 686, 394, 2800, 57260, -16100
36927, -683, 648, 437, -6790, 74760, -14280
36947, -779, 461, 470, -5740, 82530, -6510
36967, -635, 562, 159, -44590, 70770, 10990
36987, -762, 751, 329, -46410, 42910, 7140
37007, -772, 604, 286, -40250, 45290, 9800
37027, -677, 505, 213, -18900, 48230, 5600
37047, -682, 520, 259, 4480, 45850, 1470
37067, -573, 295, 247, -4830, 32410, -7980
37087, -791, 571, 333, 33950, 21420, -37240
37107, -728, 469, 358, 10220, 14980, -19460
37127, -894, 465, 152, 69370, 2380, -36960
37147, -738, 509, 215, 57260, -14210, -43190
37167, -855, 565, 197, 38500, -5600, -37380
37187, -885, 443, 194, 38780, 24920, -1050
37207, -886, 429, 277, 72310, 44730, 23100
37227, -886, 461, 265, 80500, 55020, 34370
37247, -759, 848, 141, 78470, 59430, 23800
37267, -757, 495, -13, 106400, 63350, 11760
37287, -747, 479, -117, 118860, 70770, 23030
37307, -721, 406, -125, 151690, 76580, 40460
37327, -756, 397, -164, 176120, 72800, 56070
37347, -744, 387, -342, 164850, 50470, 37730
37367, -681, 516, -354, 151130, 39690, 6230
37387, -698, 601, -377, 151480, 38430, 1470
37407, -769, 598, -297, 163800, 53620, 22680
37427, -819, 768, -262, 194180, 64610, 48230
37447, -718, 757, -349, 231140, 48160, 30800
37467, -841, 626, -444, 195440, 54810, 29680
37487, -719, 643, -420, 147840, 68530, 34720
37507, -738, 706, -351, 126840, 82600, 37310
37527, -681, 714, -509, 88620, 77280, 23030
37547, -642, 562, -553, 64260, 51800, -16590
37567, -594, 473, -620, 61530, 48580, -26880
37587, -617, 511, -607, 61950, 49770, -21280
37607, -571, 439, -634, 54950, 50820, -15120
37627, -558, 464, -717, 47460, 54390, -18270
37647, -509, 201, -784, 46480, 50330, -18970
37667, -493, 191, -792, 48510, 43260, -12320
37687, -478, 59, -878, 41580, 38990, -3430
37707, -451, 123, -895, 24920, 33670, 2170
37727, -401, -71, -915, 12460, 26040, 10780
37747, -490, 206, -860, 16660, 12880, 6580
37767, -508, 158, -837, 25200, 3150, 2030
37787, -510, 190, -749, 31500, 4480, 2170
37807, -476, 167, -766, 32480, 13300, 6230
37827, -485, 288, -757, 35630, 30450, 16590
37847, -499, 332, -789, 33600, 56070, 48790
37867, -501, 457, -847, 33390, 63000, 78120
37887, -537, 512, -862, 50120, 52850, 87710
37907, -464, 415, -826, 58730, 35420, 70070
37927, -434, 322, -828, 56980, 29260, 40880
37947, -373, 287, -842, 60550, 42840, -1260
37967, -417, 384, -882, 59570, 57820, -38850
37987, -375, 309, -932, 84560, 64120, -770
38007, -249, 150, -982, 142520, 59710, 74900
38027, -272, 60, -875, 157290, 47180, 86240
38047, -313, 130, -806, 91420, 24780, 59500
38067, -308, 228, -985, 55020, 19810, -9100
38087, -301, 426, -1050, 29680, 8960, -59150
38107, -330, 387, -1106, 65310, 840, -80010
38127, -375, 221, -963, 90160, -3640, -55020
38147, -414, 339, -959, 75810, 13790, -16590
38167, -323, 142, -960, 52360, 3290, -16800
38187, -276, 96, -1008, 42140, 32760, -24430
38207, -225, -21, -982, 49070, 54740, -32200
38227, -209, -62, -926, 49280, 60900, 3710
38247, -204, 22, -1005, 37030, 47040, 11060
38267, -196, -23, -1011, 35770, 25550, 1820
38287, -232, -33, -987, 45430, 35280, 12180
38307, -237, -51, -957, 71050, 48860, 28630
38327, -268, -145, -940, 66500, 38220, 33460
38347, -397, -325, -929, 51030, 25270, 27720
38367, -367, -112, -929, 113260, -24220, 17780
38387, -328, 4, -793, 271110, -143500, -14490
38407, -384, -405, -694, 283360, -186970, -53130
38427, -418, -613, -795, 119210, -124740, -66990
