T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1657, 238, 793, 753, 79030, -60620, 34860
1677, 306, 795, 681, 98840, -54320, 50750
1697, 233, 798, 599, 98140, -59080, 46550
1717, 187, 782, 551, 77700, -36680, 17150
1737, 246, 726, 513, 21490, -6370, -16660
1757, 253, 694, 547, 2100, -4270, -22190
1777, 253, 746, 602, -6020, 3010, -36330
1797, 343, 693, 606, -2730, -11970, -32060
1817, 345, 743, 638, 3430, -21280, -30030
1837, 330, 775, 696, 13090, -23310, -36330
1857, 295, 687, 497, 9240, -17360, -43750
1877, 240, 731, 567, 17640, -840, -33460
1897, 264, 732, 599, 14770, 1680, -23450
1917, 324, 753, 673, 15820, -7630, -15610
1937, 432, 718, 667, 18480, 14420, -45010
1957, 423, 711, 628, 30590, 47320, -79660
1977, 349, 731, 608, 35560, 52010, -83720
1997, 353, 776, 628, 31920, 35490, -62580
2017, 232, 722, 599, 40320, 25060, -51730
2037, 103, 692, 468, 52150, 38990, -70770
2057, 96, 731, 433, 53410, 54390, -106750
2077, 17, 745, 415, 41020, 54810, -120120
2097, -111, 778, 394, 40740, 52500, -121100
2117, -171, 809, 369, 42140, 45640, -119420
2137, 182, 1442, 851, 69440, 43190, -125650
2157, -235, 767, 343, 67130, 52150, -114100
2177, -363, 845, 331, 5670, 40950, -85890
2197, -350, 859, 336, 14420, 39900, -88900
2217, -457, 828, 257, 17010, 43470, -87780
2237, -404, 831, 276, 13790, 47880, -91420
2257, -517, 807, 250, 9310, 41160, -79660
2277, -484, 861, 292, -4060, 39340, -69230
2297, -529, 863, 378, -15050, 34020, -56420
2317, -509, 846, 343, -19250, 31990, -49770
2337, -487, 865, 371, -13650, 30520, -47110
2357, -458, 877, 390, -16870, 27370, -34440
2377, -435, 852, 412, -19180, 12670, -14560
2397, -462, 862, 381, -15750, 4970, -7210
2417, -459, 857, 368, -11270, 7770, -13370
2437, -470, 820, 377, -9870, 13230, -17360
2457, -477, 868, 339, -13230, 18830, -16170
2477, -494, 782, 372, -9870, 22540, -22750
2497, -413, 792, 413, -16590, 14350, -7490
2517, -509, 767, 346, -17500, 14630, -9310
2537, -518, 790, 302, -16590, 19600, -17150
2557, -532, 758, 321, -17850, 23030, -24500
2577, -519, 783, 384, -24570, 27930, -23940
2597, -555, 807, 430, -24990, 33600, -31500
2617, -536, 815, 427, -24360, 35770, -37030
2637, -632, 747, 340, -28070, 30240, -29610
2657, -587, 763, 433, -30730, 23240, -19670
2677, -480, 758, 508, -36330, 22190, -10220
2697, -501, 745, 515, -26040, 32410, -14210
2717, -599, 756, 423, -16940, 36750, -24710
2737, -594, 747, 392, -11060, 31080, -31150
2757, -594, 746, 447, -17920, 29190, -22400
2777, -500, 705, 567, -27720, 36260, -19810
2797, -487, 729, 556, -29750, 41440, -19460
2817, -573, 710, 454, -17990, 30240, -26250
2837, -681, 604, 396, -6580, 18060, -30030
2857, -673, 657, 376, -10920, 17570, -26810
2877, -718, 633, 325, -9310, 23590, -36890
2897, -678, 633, 355, -8470, 31360, -46340
2917, -735, 610, 381, -10990, 30590, -43260
2937, -794, 583, 341, -19670, 24360, -30310
2957, -703, 592, 338, -25970, 17710, -20930
2977, -703, 570, 309, -29540, 20790, -20300
2997, -641, 593, 415, -32760, 25340, -21000
3017, -637, 551, 430, -42280, 34020, -22610
3037, -686, 566, 325, -45220, 40530, -28140
3057, -718, 599, 306, -37170, 37030, -39480
3077, -646, 637, 437, -39060, 42700, -48160
3097, -581, 606, 504, -42980, 56910, -55580
3117, -629, 559, 462, -39130, 57960, -58870
3137, -749, 499, 320, -29890, 45360, -59360
3157, -813, 449, 232, -23380, 32480, -60270
3177, -873, 466, 331, -28280, 24640, -53900
3197, -709, 381, 340, -38290, 30940, -53480
3217, -694, 311, 346, -47390, 28280, -53480
3237, -687, 281, 320, -50120, 23730, -49000
3257, -697, 328, 406, -56140, 19250, -24990
3277, -679, 304, 154, -48440, 67830, -19320
3297, -422, -292, -273, -8260, 109620, -23240
3317, -436, -228, -355, 93870, -231420, -38360
3337, -818, 595, 349, 318430, -456750, -234150
3357, -77, -17, -535, 551810, -463400, -471240
3377, -359, -26, -426, 949270, -493010, -210350
3397, -599, -60, -615, 972020, 55510, -224910
3417, -946, 16, -647, 894390, 493010, -415100
3437, -838, 154, -791, 955010, 854490, -577850
3457, -646, 135, -625, 1148070, 975660, -689220
3477, -1116, -757, -739, 952560, 1265740, -227360
3497, -1998, -1998, -1878, 151060, 1587880, 132860
3517, -1760, -1998, -1997, -212240, 873600, 726180
3537, -970, -936, -432, 357350, 530460, 650580
3557, -402, -432, -273, 393540, 616420, 497840
3577, -483, -259, -309, 331660, 292320, 801080
3597, -786, -533, -393, 229950, 356650, 985110
3617, -689, -677, -721, 147700, 408380, 872760
3637, -974, -818, -888, 333900, 591780, 547680
3657, -1141, -696, -1126, 702660, 823410, 90230
3677, -947, -457, -712, 1087240, 969220, -261310
3697, -1235, -1404, -818, 879340, 1179570, -160650
3717, -1655, -1998, -1262, -54670, 1406720, 144410
3737, -1057, -1786, -1173, -361900, 1072330, 306040
3757, -659, -879, -653, 405930, 279580, 404670
3777, -443, -498, -364, 837760, 119980, 276290
3797, -483, -528, -349, 632240, 296240, 218260
3817, -529, -599, -418, 391580, 451640, 219590
3837, -564, -612, -414, 338310, 501200, 171080
3857, -517, -578, -426, 446740, 437500, 138880
3877, -530, -615, -481, 562170, 369040, 87640
3897, -515, -598, -403, 588840, 396060, 29400
3917, -478, -568, -195, 451570, 506730, 36890
3937, -635, -748, -298, 87710, 598500, 156870
3957, -913, -1226, -695, -242760, 422450, 436450
3977, -818, -1252, -797, -132160, 71610, 569240
3997, -623, -852, -592, 293720, -61950, 325150
4017, -421, -516, -318, 553420, 53200, 3500
4037, -272, -329, -119, 506660, 196210, -125650
4057, -278, -319, -104, 243530, 306600, -54810
4077, -348, -394, -195, -39970, 331730, 117390
4097, -381, -429, -214, -164010, 270620, 236180
4117, -393, -476, -251, -118860, 180880, 242620
4137, -416, -491, -259, -27440, 127750, 159180
4157, -429, -493, -268, 75670, 121240, 11200
4177, -456, -507, -273, 169960, 117180, -140490
4197, -471, -580, -281, 230650, 109830, -255220
4217, -528, -774, -378, 235200, 88970, -304010
4237, -639, -1046, -445, 210210, 38150, -275240
4257, -1020, -1634, -737, 80710, 41860, -216370
4277, -1095, -1875, -950, -193410, 110110, -207620
4297, -1068, -1656, -815, -244230, 18410, -241500
4317, -851, -1245, -699, -102410, -213220, -242760
4337, -678, -920, -490, 52290, -442540, -271180
4357, -540, -748, -381, -30660, -401100, -356090
4377, -511, -671, -301, -279020, -225610, -432740
4397, -664, -851, -463, -451640, -151550, -408380
4417, -849, -1206, -756, -496440, -285530, -279300
4437, -963, -1452, -850, -401170, -444710, -230720
4457, -959, -1510, -792, -315700, -384300, -370230
4477, -872, -1334, -649, -355530, -236530, -517230
4497, -814, -1083, -639, -419930, -288750, -456190
4517, -796, -954, -683, -442540, -569800, -200900
4537, -687, -866, -672, -478240, -731150, -23590
4557, -582, -788, -579, -508620, -664860, -41580
4577, -525, -696, -449, -500710, -496930, -151270
4597, -541, -685, -403, -458360, -377930, -234780
4617, -610, -742, -444, -404600, -384720, -227430
4637, -673, -839, -545, -336000, -504770, -150150
4657, -665, -885, -602, -283570, -622720, -88060
4677, -608, -828, -538, -255640, -620690, -124740
4697, -531, -694, -409, -233240, -515130, -237160
4717, -479, -578, -329, -216720, -437010, -307160
4737, -469, -521, -329, -216440, -471240, -256550
4757, -458, -511, -367, -239890, -565530, -132650
4777, -421, -504, -383, -277550, -615580, -33740
4797, -365, -489, -358, -306880, -567280, -16240
4817, -337, -466, -307, -320040, -437150, -73150
4837, -312, -423, -244, -309960, -289590, -153860
4857, -283, -381, -199, -267050, -197890, -202860
4877, -281, -383, -190, -216300, -180250, -190400
4897, -313, -457, -239, -192080, -205800, -120890
4917, -378, -601, -334, -190470, -241080, -24290
4937, -454, -786, -445, -180180, -259140, 58310
4957, -533, -968, -521, -143360, -232120, 87780
4977, -638, -1158, -557, -97580, -144900, 57470
4997, -775, -1415, -698, -103180, -32200, 22260
5017, -860, -1575, -841, -168490, 4410, 61670
5037, -730, -1346, -702, -172690, -59640, 142310
5057, -574, -1057, -505, -69090, -102130, 144480
5077, -504, -913, -431, 24990, -100800, 118440
5097, -531, -931, -490, 20790, -103670, 168490
5117, -599, -1052, -592, -44170, -100310, 263410
5137, -676, -1198, -658, -106960, -23030, 291830
5157, -728, -1309, -667, -122150, 117880, 219030
5177, -758, -1387, -667, -68600, 214900, 135660
5197, -812, -1475, -753, 10430, 188580, 145810
5217, -792, -1414, -766, 30100, 80780, 305620
5237, -695, -1208, -643, -28770, 181300, 258440
5257, -644, -1084, -567, -58030, 275520, 210070
5277, -616, -1015, -530, -52500, 299110, 204890
5297, -589, -961, -509, -2940, 273210, 215390
5317, -550, -894, -479, 62370, 254310, 214900
5337, -538, -849, -455, 90440, 274400, 206990
5357, -562, -862, -473, 55650, 332150, 202020
5377, -589, -878, -486, 15610, 388570, 187110
5397, -576, -844, -469, 41510, 409150, 149100
5417, -521, -751, -412, 126840, 391580, 103530
5437, -454, -651, -351, 204820, 357070, 86590
5457, -412, -577, -309, 219520, 333060, 114870
5477, -412, -559, -305, 175560, 332080, 167650
5497, -422, -547, -304, 130340, 340200, 206220
5517, -416, -529, -301, 129990, 336140, 210630
5537, -392, -488, -281, 176330, 317590, 185570
5557, -353, -432, -253, 240660, 295260, 153090
5577, -317, -380, -221, 286650, 277270, 139160
5597, -301, -359, -206, 293160, 267820, 158060
5617, -319, -385, -219, 259490, 269360, 203280
5637, -365, -453, -255, 204820, 281820, 253260
5657, -423, -549, -314, 150780, 304920, 284130
5677, -501, -689, -390, 113960, 337470, 283570
5697, -581, -837, -461, 103810, 375060, 254240
5717, -668, -1006, -521, 107520, 407120, 213640
5737, -744, -1181, -575, 102900, 412020, 191800
5757, -818, -1346, -669, 71470, 368690, 217140
5777, -853, -1406, -742, 13370, 310660, 264180
