T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1787, 233, 388, 589, 51660, -9520, 10010
1807, 378, 489, 961, 49140, 6720, 12740
1827, 446, 474, 932, 52990, 62090, 39620
1847, 443, 434, 1051, 45500, 34650, 42630
1867, 434, 493, 971, 31500, 10500, 65660
1887, 374, 483, 820, 840, -73570, 29960
1907, 561, 646, 613, -23030, -109270, 5600
1927, 173, 298, 808, -13090, -45500, 11620
1947, 345, 405, 856, 19250, 80920, 82180
1967, 359, 358, 894, 43820, 85820, 83300
1987, 271, 352, 904, 21770, 58380, 32340
2007, 410, -231, 881, 12950, 64820, 14280
2027, 218, 483, 929, 53410, 97510, -69020
2047, 280, 428, 979, 69930, 116900, -145040
2067, 161, 487, 836, 51870, 51590, -69860
2087, 100, 441, 789, 47600, 16030, -4270
2107, 123, 510, 958, 46200, 14420, 16030
2127, 192, 629, 922, 56630, 2800, 24570
2147, 172, 533, 837, 84140, 8470, 26600
2167, 109, 538, 828, 95340, 24150, 22680
2187, 103, 589, 860, 86240, 28630, 20790
2207, 147, 637, 888, 81340, 28140, 14980
2227, 294, 685, 839, 86170, 22610, 6300
2247, 273, 602, 843, 95830, 34300, -18340
2267, 161, 540, 775, 112350, 49630, -47600
2287, 90, 645, 747, 106330, 48370, -48930
2307, 94, 722, 815, 85610, 25270, -27930
2327, 168, 743, 848, 68040, 3850, -9310
2347, 197, 689, 785, 67760, -7140, -12670
2367, 99, 668, 721, 74340, -1540, -37380
2387, -37, 763, 707, 68880, -2240, -49630
2407, -47, 856, 731, 52290, -8050, -46130
2427, 41, 782, 673, 41300, -17150, -33600
2447, 62, 676, 576, 44870, -17640, -34440
2467, 50, 695, 532, 42070, -18200, -33670
2487, 10, 739, 539, 27160, -20650, -26110
2507, 36, 735, 545, 16660, -18480, -22680
2527, 88, 707, 537, 11340, -17500, -23100
2547, 104, 732, 543, 7210, -18270, -25410
2567, 48, 770, 518, 490, -20650, -26810
2587, -36, 775, 435, -490, -17430, -38010
2607, -27, 809, 480, 1540, -11690, -45080
2627, -43, 800, 512, -700, -70, -50120
2647, -42, 828, 520, 1400, 6440, -58940
2667, -110, 812, 477, 4270, 2730, -55090
2687, -115, 856, 530, 3710, 1260, -49000
2707, -123, 852, 557, -1540, 4130, -49840
2727, -129, 912, 603, -3780, 3850, -47740
2747, -127, 883, 603, -5740, -630, -43050
2767, -168, 868, 568, -6930, -4130, -34580
2787, -194, 851, 525, -6790, -11200, -28140
2807, -225, 829, 525, -5390, -9030, -27650
2827, -170, 837, 542, -7070, 2660, -33180
2847, -157, 779, 536, -10780, 6160, -27300
2867, -135, 812, 582, -13090, 8680, -23170
2887, -217, 753, 566, -12950, 7840, -22960
2907, -201, 767, 548, -12880, 4620, -20650
2927, -142, 818, 594, -11690, 490, -23520
2947, -157, 735, 574, -15120, 6650, -26950
2967, -84, 802, 666, -17710, 7770, -27860
2987, -89, 787, 717, -18550, 1610, -24150
3007, -179, 821, 686, -12110, 2590, -28910
3027, -264, 835, 607, -3780, 1190, -39900
3047, -331, 754, 518, 280, 0, -41580
3067, -319, 719, 520, -4340, -700, -34510
3087, -325, 760, 628, -11550, 7420, -33950
3107, -338, 820, 672, -15820, 13720, -36750
3127, -366, 811, 606, -14980, 9800, -31710
3147, -385, 802, 560, -12040, -490, -24500
3167, -334, 767, 576, -14420, -2730, -18410
3187, -217, 769, 649, -15960, 8750, -24640
3207, -214, 742, 660, -19180, 12600, -22680
3227, -314, 736, 603, -16590, 7000, -20090
3247, -392, 685, 544, -14490, -560, -15610
3267, -334, 657, 546, -14350, 2660, -13720
3287, -293, 652, 589, -14210, 15890, -18270
3307, -405, 665, 590, -14070, 28210, -28630
3327, -529, 668, 541, -14910, 32340, -37800
3347, -560, 655, 494, -17920, 29890, -33460
3367, -507, 663, 495, -21000, 33530, -31010
3387, -454, 642, 545, -25270, 46760, -40320
3407, -427, 612, 555, -29260, 57400, -45780
3427, -465, 594, 542, -30170, 53760, -37100
3447, -476, 558, 508, -35490, 44940, -27230
3467, -438, 584, 575, -36260, 43050, -24990
3487, -382, 587, 637, -43400, 47600, -28210
3507, -379, 559, 679, -45920, 56420, -39200
3527, -446, 505, 630, -41370, 58660, -47110
3547, -515, 467, 556, -37240, 51520, -49910
3567, -585, 516, 596, -36470, 47390, -57820
3587, -523, 469, 653, -38360, 53970, -68880
3607, -554, 413, 659, -34720, 59570, -74690
3627, -668, 442, 577, -31150, 51450, -80010
3647, -706, 403, 541, -31220, 36750, -80500
3667, -726, 351, 527, -30030, 34230, -78050
3687, -677, 369, 585, -25830, 59640, -96670
3707, -652, 336, 640, -24430, 80150, -121450
3727, -821, 259, 629, -26600, 76720, -128310
3747, -1021, 302, 531, -28420, 49980, -100310
3767, -971, 275, 503, -24080, 62790, -105280
3787, -871, 238, 531, -31500, 63700, -104300
3807, -864, 302, 688, -43610, 49560, -86730
3827, -948, 239, 669, -31640, 32550, -71190
3847, -993, 228, 569, -8750, 30240, -79590
3867, -891, 178, 586, -8610, 21350, -73220
3887, -897, 194, 596, -23660, 6230, -60200
3907, -992, 114, 581, -18130, 5180, -53340
3927, -1136, 99, 491, 4410, 24640, -68320
3947, -1114, 8, 510, 14910, 43050, -73850
3967, -1101, 49, 474, -8960, 30590, -59150
3987, -1085, 58, 491, -19740, 21980, -37940
4007, -1049, 85, 499, -7700, 38430, -42000
4027, -1048, -95, 501, 8680, 52360, -40110
4047, -939, -118, 504, 11130, 52850, -40460
