T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
38775, -1255, -1783, -925, -949830, -453740, -679420
38795, -1998, -1998, -1997, -994350, -623210, -516390
38815, -1998, -1998, -1997, -902930, -1413020, 25550
38835, -1998, -1998, -1997, -926520, -1578290, 81130
38855, -1998, -1998, -1997, -599340, -1789900, -163870
38875, -1998, -1998, -1997, -106890, -2016070, -615230
38895, -1998, -1998, -1997, -168210, -2109870, -984900
38915, -1998, -1998, -1997, -507640, -1660890, -1639610
38935, -1998, -1998, -1997, -956550, -1582280, -1738030
38955, -1998, -1990, -1997, -1333430, -1572480, -1363320
38975, -1934, -1998, -1997, -1467270, -1663690, -747670
38995, -1998, -1998, -1997, -1197630, -1676080, -299040
39015, -1998, -1998, -1997, -811300, -1704850, -14490
39035, -1998, -1998, -1997, -301840, -1771490, 99610
39055, -1998, -1998, -1997, 155330, -1580600, -56910
39075, -1998, -1998, -1997, 486360, -1401960, -200550
39095, -1998, -1998, -1997, 634340, -1105510, -403760
39115, -1998, -1998, -1997, 730870, -863030, -513030
39135, -1998, -1998, -1997, 812070, -610260, -589750
39155, -1998, -1998, -1997, 882910, -419510, -584150
39175, -1998, -1998, -1997, 1021650, -233590, -566020
39195, -1998, -1998, -1997, 1173480, -71820, -518840
39215, -1998, -1998, -1997, 1295350, 18830, -351330
39235, -1998, -1998, -1997, 1407770, 99120, -99120
39255, -1998, -1998, -1997, 1417360, 180110, 292810
39275, -1998, -1998, -1997, 1297660, 355810, 763980
39295, -1998, -1998, -1997, 1025360, 640710, 1316070
39315, -1998, -1998, -1997, 668360, 1174670, 1682170
39335, -1998, -1998, -1997, -22540, 1768060, 1761410
39355, -1998, -1998, -1997, -12880, 2187150, 1213100
39375, -1998, -1998, -1997, 476070, 2293480, 463890
39395, -1998, -1998, -1997, 1503110, 2293480, 301280
39415, -1998, -1998, -1997, 2093560, 2172800, 992810
39435, -1998, -1998, -1997, 1549870, 1933960, 1928290
39455, -1998, -1998, -1997, 565740, 2117290, 2236780
39475, -1998, -1998, -1997, 111860, 2291870, 1468110
39495, -1998, -1998, -1997, 559580, 2293480, 336280
39515, -1998, -1998, -1997, 1830010, 2283960, 108010
39535, -1998, -1998, -1997, 2221100, 1822730, 805910
39555, -1998, -1998, -1997, 1634500, 1225490, 1695050
39575, -1998, -1998, -1997, 667660, 1347780, 2128280
39595, -1998, -1998, -1997, -106050, 1734110, 1799350
39615, -1998, -1998, -1997, -404810, 2160410, 1008000
39635, -1998, -1998, -1997, -13230, 2277100, 185850
39655, -1998, -1998, -1997, 646240, 2193730, -319760
39675, -1998, -1998, -1997, 1314460, 1653400, -347620
