T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
4480, 33, 436, 962, 6440, 3360, 630
4500, 51, 438, 951, 4480, 5110, 840
4520, 51, 432, 931, 2380, 6160, 910
4540, 30, 421, 914, 1540, 5460, 1610
4560, 21, 425, 913, 2800, 2450, 1400
4580, 10, 433, 956, 3990, 280, -280
4600, 41, 450, 967, 4550, -1610, -1750
4620, 61, 448, 936, 2660, -1470, -2450
4640, 50, 438, 904, -280, 1190, -2450
4660, 27, 437, 924, -1050, 140, -1750
4680, 17, 439, 957, 490, -2030, -1400
4700, 37, 447, 942, 980, -3080, -1750
4720, 52, 441, 922, -910, -2380, -1960
4740, 51, 436, 906, -2240, -140, -1960
4760, 33, 443, 934, -2520, 560, -2660
4780, 33, 445, 960, -1610, 700, -3430
4800, 37, 441, 954, -2380, -1120, -2520
4820, 52, 427, 928, -4060, -2380, -1890
4840, 42, 421, 898, -2450, -7280, -2590
4860, 42, 425, 897, -3990, -3080, -840
4880, 32, 425, 929, -2520, 770, -1890
4900, 33, 431, 933, -840, 1400, -3430
4920, 30, 431, 941, -630, 490, -4830
4940, 36, 428, 924, -910, -420, -5880
4960, 34, 421, 901, -1680, -1610, -7000
4980, 43, 416, 882, -1820, -2100, -7210
5000, -84, 313, 915, -210, -2240, -8330
5020, -6, 382, 901, 3710, -3220, -11620
5040, -23, 397, 940, 12110, -12950, -19950
5060, 78, 485, 1011, 14700, -20020, -29820
5080, 154, 540, 950, 24780, -38570, -38500
5100, 159, 502, 908, 23870, -50400, -37520
5120, 119, 432, 835, 18130, -38570, -26950
5140, 157, 477, 879, 17570, -36820, -16240
5160, 170, 528, 826, 24710, -49420, -12600
5180, 172, 517, 753, 33040, -44590, -9870
5200, 186, 492, 819, 40810, -42350, -9450
5220, 191, 557, 901, 61390, -52010, -2380
5240, -1345, 491, -395, 77490, -68740, 6230
5260, 274, 775, 898, 82880, -67270, 4760
5280, 214, 695, 1043, 148540, 2450, -16030
5300, 59, 622, 1054, 97300, 30730, 15540
5320, 62, 766, 919, 53270, 23380, 5110
5340, 99, 792, 793, 11550, 6580, -3850
5360, 284, 747, 768, -3010, 12950, -25550
5380, 174, 664, 843, 10920, 9730, -13860
5400, 135, 832, 822, 15050, -75180, 9660
5420, 358, 777, 876, 2450, -108500, -27930
5440, 159, 316, 845, 35280, -58590, -42980
5460, 359, 780, 947, 47950, -62230, -51730
5480, -111, 1049, 799, 37590, -52640, -73150
5500, 304, 723, 659, 67130, -57610, -13160
5520, 192, 770, 583, 90440, -40110, -28910
5540, 292, 705, 578, 103180, -24080, -51380
5560, 209, 780, 534, 123060, -7910, -56980
5580, 114, 741, 451, 150150, 3150, -78400
5600, -57, 787, 408, 169400, 8820, -99050
5620, 32, 915, 387, 173460, 1820, -106470
5640, 253, 676, 174, 168210, -18690, -85610
5660, 59, 611, 252, 152880, -46620, -55860
5680, 59, 553, 88, 160580, -9660, -79940
5700, 66, 749, 345, 135520, -6650, -100170
5720, 152, 766, 283, 141680, 11550, -143570
5740, -99, 659, 176, 130410, 2940, -148680
5760, -263, 814, 249, 105210, 12740, -134470
5780, -116, 905, 277, 76300, 7000, -108990
5800, -98, 920, 294, 68950, 11200, -100030
5820, -224, 922, 212, 55510, -7560, -118440
5840, -352, 828, 82, 41370, -22820, -122920
5860, -400, 831, 49, 28280, -21560, -115430
5880, -343, 759, 51, 23170, -11970, -123900
5900, -427, 692, -1, 21420, -10710, -139510
5920, -555, 646, -51, 17290, -22470, -144130
5940, -660, 814, -84, 12950, -31360, -149870
5960, -617, 870, -37, 15820, -24430, -182840
5980, -761, 652, -155, 33950, -2870, -232960
6000, -859, 651, -107, 33600, 4760, -248290
6020, -855, 745, -45, 27020, 7140, -209370
6040, -845, 739, -63, 26600, 6160, -191030
6060, -834, 619, -33, 39900, 11060, -187810
6080, -792, 502, 35, 40320, 20300, -193550
6100, -854, 567, 16, 33110, 18130, -198870
6120, -946, 452, -80, 38010, 7560, -190750
6140, -949, 329, -169, 47180, 5320, -191520
6160, -904, 259, -49, 38780, 7980, -166600
6180, -864, 278, 81, 24290, 13300, -140980
6200, -898, 231, -15, 26950, -770, -131040
6220, -996, 57, -194, 42840, -27020, -132510
6240, -947, -21, -200, 35910, -43680, -104650
6260, -963, 143, -34, 8470, -45360, -70280
6280, -963, 269, 59, -420, -27090, -72590
6300, -1064, 169, 12, 35630, -15190, -126070
6320, -1135, 152, -2, 57400, -21910, -162260
6340, -1225, 75, -18, 43960, -42840, -128870
6360, -1250, -96, -83, 34370, -52710, -70910
6380, -1265, -182, -199, 36470, -45640, -52430
6400, -1089, -193, -147, 28140, -32060, -61810
6420, -986, -155, 33, -910, -20650, -50470
6440, -963, 197, 324, -26530, -13510, -17990
6460, -1107, -102, 86, 1680, -17920, 5810
6480, -1282, -147, -131, 43610, -41510, -2940
6500, -1193, -31, -66, 30940, -56140, 33670
6520, -974, -154, 237, 1610, -42910, 58030
6540, -958, -211, 224, 12880, -2240, 13790
6560, -1101, -245, 110, 46690, 7770, -43120
6580, -1119, -166, 18, 42350, -9660, -71680
6600, -1092, -198, 68, 19390, -22540, -59640
6620, -992, -338, 153, 8610, -4270, -37240
6640, -980, -236, 270, 980, 8890, -36820
6660, -953, -101, 230, -5880, 6020, -38920
6680, -1023, -91, 132, -1680, -17640, -36610
6700, -1013, -110, 85, 4200, -28770, -18270
6720, -945, -213, 151, -1050, -31430, 1540
6740, -990, -308, 181, -12670, -29470, 20930
6760, -1086, -466, 112, -15120, -23940, 21980
6780, -1147, -551, -25, -14210, -25760, 15470
6800, -1086, -449, 20, -27230, -26880, 5040
6820, -936, -224, 207, -55440, -9100, 15190
6840, -920, -153, 263, -75040, 32620, 24780
6860, -986, -467, -134, -70140, 80360, -9310
6880, -743, -574, -477, 21070, 60620, -37590
6900, -387, -481, -293, 200900, -149730, -76300
6920, -237, -326, -170, 276710, -197960, -200340
6940, -218, -291, -84, 188790, -56140, -325010
6960, -251, -331, -37, 38150, 155750, -398510
6980, -232, -362, -28, -108710, 286650, -396900
7000, -293, -505, -121, -199570, 258720, -333760
7020, -528, -915, -419, -278740, 121240, -201670
7040, -912, -1672, -898, -328580, -77840, -32060
7060, -1414, -1998, -1367, -313600, -181370, 5740
7080, -989, -1866, -668, -158270, -142100, -183680
7100, -655, -1119, -304, 15960, -35630, -455980
7120, -660, -1047, -591, -192780, 210, -456470
7140, -898, -1445, -881, -496440, -263270, -176750
7160, -849, -1549, -819, -294210, -501550, -150780
7180, -839, -1540, -673, -373310, -235620, -362040
7200, -758, -1294, -732, -537740, -235620, -295610
7220, -606, -860, -494, -467320, -458850, -151060
7240, -436, -493, -337, -286230, -651700, -84000
7260, -266, -149, -179, -234990, -742070, -39200
7280, -233, -81, -186, -310660, -748230, 55930
7300, -175, 5, -170, -348950, -727650, 141540
7320, -144, 47, -137, -346850, -688240, 226030
7340, -101, 19, -165, -323960, -640360, 299250
7360, -66, 42, -135, -313250, -527730, 324240
7380, -77, -53, -183, -351120, -362530, 313530
7400, -311, -576, -448, -378980, -177940, 246190
7420, -839, -1264, -824, -370230, 147630, -7560
7440, -1998, -1998, -1543, -153510, 642530, -582680
7460, -898, -1511, -330, 430150, 986510, -1159830
7480, -347, -228, 282, 704620, 215250, -663950
7500, -656, -233, -207, -121800, -596190, 327950
7520, -573, -308, -364, -395080, -988470, 725340
7540, -398, -298, -344, -261450, -1009190, 843500
7560, -230, -340, -462, -187040, -695240, 751660
7580, -900, -1260, -1106, -307440, -42560, 414330
7600, -1998, -1998, -1996, -380730, 1067780, -441770
7620, -973, -1998, 574, 241850, 1962240, -1507100
7640, -1273, -1263, -909, 519330, 307090, -213220
7660, -452, -340, -302, -265510, -885920, 1077720
7680, -289, -77, -144, -271880, -461370, 725130
7700, -49, -13, -322, -321370, -197400, 633430
7720, -115, -11, -230, -359380, 65800, 565530
7740, -176, 7, -153, -368060, 391860, 465290
7760, -155, -2, -222, -373730, 523530, 408590
7780, -246, -62, -113, -410410, 609770, 374850
7800, -563, -530, -425, -418320, 651770, 305830
7820, -960, -466, -428, -248500, 605150, 75250
7840, -1375, -170, -843, 352310, 461930, -488390
7860, -929, 495, -704, 1073450, -39550, -1013110
7880, -83, 456, 9, 1300110, -442820, -1367100
7900, -146, -108, 333, 777700, -304360, -1185520
7920, -1998, -1998, -1997, -119910, -334810, -475440
7940, -1998, -1998, -1997, -1038940, -1166060, 807800
7960, -699, -388, 39, -432600, -819560, 329490
7980, 15, -4, -170, 119490, 54740, -931140
8000, -72, 152, 162, 81690, -248150, -690480
8020, -75, 258, 130, -24780, -293650, -318640
8040, -212, 195, 41, -115080, -556990, 44240
8060, -469, -78, -72, -141190, -793590, 448490
8080, -300, -98, -221, -84070, -974470, 779590
8100, -224, -108, -205, 11550, -1009820, 917490
8120, -151, -138, -166, 43610, -730100, 909790
8140, -86, -145, -194, 152040, -462770, 814310
8160, -8, -77, -286, 326130, -274260, 638260
8180, -119, 19, -302, 487690, -36750, 372470
8200, -238, 122, -300, 621460, 271180, 107380
8220, -291, 242, -294, 756630, 489790, -82320
8240, -367, 295, -334, 886270, 599620, -206850
8260, -268, 384, -312, 1008700, 629090, -269850
8280, -55, 538, -176, 1103270, 591290, -282520
8300, -314, 108, -67, 1108240, 562660, -198870
8320, -110, -516, -13, 1014090, 520170, 26810
8340, -1998, -1998, -1997, 879830, 160230, 429730
8360, -1793, -1959, -1463, 235060, 50330, 1041320
8380, -45, 160, 92, 129500, 795270, 77910
8400, -128, 278, 111, 675220, 894180, -538090
8420, -87, 258, 37, 441210, 739410, 17290
8440, -350, 48, -41, 255010, 543200, 428820
8460, -366, -24, -58, -51240, 521010, 668150
8480, -670, -716, -384, -222810, 436170, 700280
8500, -679, -1185, -958, -254170, 262570, 644910
8520, -1179, -1020, -916, -92120, 195720, 450380
8540, -186, 99, 38, 349650, 448560, -12950
8560, -74, -100, 43, 895860, 434420, -410270
8580, -81, -88, 9, 608790, 275800, -132720
8600, -331, -310, -183, 288960, 84350, 294070
8620, -732, -1096, -785, 43610, 102900, 527100
8640, -1998, -1998, -1997, -212660, 324520, 437780
8660, -910, -1998, -976, -343490, 844760, -36120
8680, -184, -191, 45, 703080, 532210, -553840
8700, 25, 43, -91, 757120, -501340, 54180
8720, -77, 172, -21, 11340, -296380, 210630
8740, -120, 230, -129, -207690, -194320, 485310
8760, -193, 135, -169, -292670, -135310, 718620
8780, -166, 88, -192, -452480, 36820, 779100
8800, -88, 25, -229, -530320, 133420, 753340
8820, -4, -33, -273, -559860, 198730, 676340
8840, -70, -51, -171, -579530, 296870, 524370
8860, -131, -106, -208, -579320, 460040, 359870
8880, -406, -277, -83, -541870, 499800, 255430
8900, -300, -114, 32, -471310, 520450, 78470
8920, -327, -19, 0, 15680, 205730, -534030
