T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
15585, -1998, -46, -1184, 864850, 1176350, -590310
15605, -1998, 447, -1455, 1341760, 1505420, -1193290
15625, -343, 964, 104, 1795220, 1369270, -1228570
15645, -327, 70, -79, 1180340, 1073450, -331660
15665, -1998, -1998, -1997, -927430, 1467900, 534800
15685, -1682, -1998, -1997, -1075340, 1076180, 184520
15705, -1348, -1998, -399, 1478540, -573440, -184030
15725, -753, -1166, -882, 254730, -406700, 258650
15745, -289, -629, -475, -765590, 73640, 103250
15765, -253, -305, -109, -708330, 341810, 11340
15785, -315, -215, -47, -498820, 124600, 116130
15805, -298, -201, -98, -284340, -277060, 247940
15825, -185, -124, -123, -88620, -548380, 317730
15845, -101, -107, -171, 31710, -628460, 298410
15865, 29, -27, -149, 56700, -528290, 220780
15885, 103, 42, -121, 75740, -338310, 160090
15905, 25, -23, -128, 43260, -97930, 143920
15925, -34, -50, -141, 33740, 103250, 108570
15945, -248, -183, -154, 61320, 276920, 45570
15965, -501, -338, -269, 138530, 398230, -98630
15985, -547, -168, -296, 309260, 436870, -346850
16005, -321, 25, -239, 608090, 377160, -607180
16025, 60, 162, 107, 814800, 174930, -597520
16045, -133, -191, 38, 563220, 125300, -323120
16065, -213, -373, -185, 7630, 196980, -5740
16085, -1998, -1998, -1997, -297570, 187180, 162400
16105, -1998, -1998, -1997, 51660, 149730, 21140
16125, -1260, -1982, -1503, -531650, 229110, 161980
16145, -122, -230, -333, -36470, -522760, 178080
16165, -12, 139, 182, 635810, -416150, -308350
16185, 206, 309, 48, 336070, -212380, -119840
16205, 0, 223, -124, -99960, -124180, 194040
16225, -245, 188, -48, -432250, 75810, 476490
16245, -277, 159, -190, -510230, 84420, 718410
16265, -351, 118, -264, -507010, 14140, 895580
16285, -378, -42, -393, -557760, 123970, 916300
16305, -210, 69, -214, -614320, 226100, 807450
16325, -221, -5, -174, -616910, 329490, 635180
16345, -192, -18, -120, -624330, 369810, 517580
16365, -188, -65, -108, -560840, 300650, 424410
16385, -432, -432, -299, -500150, 227080, 335790
16405, -527, -280, -362, -325570, 165900, 136430
16425, -832, 69, -289, 124600, 171430, -353640
16445, -1185, 140, -674, 564060, 219730, -933940
16465, -635, 675, -377, 866670, 99330, -1334970
16485, -271, 396, 5, 952280, 48580, -1552460
16505, 152, -124, 793, 698390, 163800, -1318590
16525, -1998, -1998, -1997, 55160, 9450, -590100
16545, -816, -1061, -634, -721350, -811580, 469140
16565, -191, -84, -334, -230300, -594650, -217770
16585, -118, 96, -109, 74060, -844270, -270900
16605, 135, 287, -107, -12390, -755930, -195160
16625, 119, 35, -262, -235550, -577290, -79450
16645, 107, 259, 40, -416920, -297920, 3360
16665, 67, 374, -25, -389060, -43820, 93590
16685, -211, 184, -135, -500780, 72660, 297290
16705, -232, 84, -206, -757050, 156170, 506800
16725, -206, 104, -238, -769440, 43610, 646030
16745, 36, 223, -442, -697270, -7070, 701750
16765, -279, 120, -418, -716590, 112910, 689500
16785, -376, 324, -85, -875770, 506310, 663880
16805, -536, -128, -504, -949060, 564970, 683340
16825, -224, -82, -278, -1005620, 302330, 749630
16845, -162, -162, -241, -960610, 313880, 495320
16865, -193, -179, -70, -858620, 400960, 150500
16885, -248, -289, -180, -758170, 546000, -226450
16905, -695, -533, -310, -652890, 673120, -561820
16925, -1399, -846, -687, -439460, 798840, -829360
16945, -1787, -1924, -973, -85820, 1012970, -1200570
16965, -1998, -1998, -1997, 325290, 1229550, -1492820
16985, -1467, -1419, -1674, 589960, 158410, -455840
17005, -725, -664, -578, -1468810, -264250, 675640
17025, -287, -212, -283, -1033340, -510440, 247730
17045, 46, 53, -152, -169470, -764120, -65520
17065, 142, 155, 1, -40810, -644630, -208810
17085, 144, 114, -40, -110530, -360500, -269150
17105, 96, 47, -90, -262920, -100170, -170660
17125, -1, 14, -67, -293160, 16940, 45780
17145, -1, 57, -67, -257320, 133070, 231000
17165, -75, -8, -98, -199360, 201180, 341740
17185, -121, -45, -115, -136220, 280700, 410200
17205, -177, -155, -251, -91770, 378630, 409990
17225, -1456, -1596, -1196, -95690, 766080, 179620
17245, -1998, -1998, -1977, 311080, 1187970, -525140
17265, -599, -757, -194, 944370, 324030, -501410
17285, -152, -213, -250, -884170, 475370, -39060
17305, -124, -23, -13, -715750, 109900, -2310
17325, -209, -119, -62, -471240, -115990, 199290
17345, -101, -61, -116, -230860, -374150, 317310
17365, -112, -19, -14, -189070, -295400, 288190
17385, -30, -39, -120, -182140, -229110, 219240
17405, -78, -126, -156, -166530, -139790, 150780
17425, -150, -145, -114, -153650, 55440, 33880
17445, -270, -266, -163, -140280, 238980, -149660
17465, -304, -153, -68, -15750, 278880, -331520
17485, -174, 25, -24, 229460, 135240, -454300
17505, -90, 44, -67, 457100, -162330, -385070
17525, -60, -65, -195, 605920, -434280, -188720
17545, 28, -84, -269, 696640, -577430, -55160
17565, 38, 27, -40, 694540, -483070, -23240
17585, -24, -205, -175, 445550, -178990, -46340
17605, -1876, -1998, -1997, 15190, 307580, -130340
17625, -1998, -1998, -1203, -353080, 1366120, -622720
17645, -527, -660, -565, -468510, 499590, 361970
17665, -513, -225, -162, -116200, -275730, 1082550
17685, -89, -122, -82, 428260, -316610, 794710
