T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1679, -300, -356, 1273, -52710, -73360, -3990
1699, -222, -336, 1255, -47250, -45780, 2450
1719, -166, -375, 1109, -5950, -45990, 11550
1739, -189, -430, 941, 36680, -51940, 13160
1759, -233, -452, 865, 59500, -51450, 4970
1779, -296, -450, 896, 56350, -51660, 1190
1799, -333, -450, 915, 37590, -44800, 1890
1819, -280, -426, 882, 21770, -33320, 7840
1839, -219, -398, 834, 14210, -25060, 18200
1859, -180, -378, 809, 11830, -24710, 25900
1879, -238, -380, 797, 9030, -28420, 24430
1899, -254, -390, 806, 1470, -30870, 15400
1919, -220, -377, 840, -8120, -29190, 12390
1939, -153, -339, 894, -18130, -20510, 12880
1959, -105, -314, 906, -23870, -17990, 15540
1979, -140, -369, 893, -18830, -22680, 13720
1999, -192, -414, 871, -11900, -28560, 2870
2019, -196, -431, 874, -6580, -33670, -6650
2039, -161, -463, 923, -8470, -34020, -7070
2059, -179, -469, 970, -15960, -29890, -3500
2079, -161, -480, 975, -23660, -26670, -840
2099, -141, -496, 938, -24080, -24500, 1610
2119, -118, -477, 933, -17150, -31640, 6720
2139, -102, -451, 978, -16030, -31710, 9170
2159, -124, -420, 1030, -19110, -28350, 10150
2179, -113, -409, 995, -21630, -18760, 7350
2199, -58, -401, 902, -14630, -11900, 7840
2219, -21, -400, 879, -3430, -16450, 13230
2239, -44, -387, 936, -6650, -15680, 14490
2259, -87, -389, 990, -20370, -7700, -490
2279, -108, -412, 977, -13230, -3360, -5810
2299, -103, -449, 908, -1120, -4900, -6370
2319, -111, -472, 870, 6650, -7070, -7000
2339, -135, -509, 838, 6650, -9730, -8680
2359, -152, -516, 824, 3850, -12600, -8890
2379, -153, -504, 850, -3780, -12810, -7350
2399, -144, -489, 873, -9590, -12040, -3220
2419, -116, -483, 887, -11060, -10990, 70
2439, -93, -482, 878, -8680, -9240, 1050
2459, -78, -478, 865, -6160, -9380, 490
2479, -54, -473, 866, -8470, -7630, -770
2499, -35, -465, 879, -12740, -8610, -420
2519, -25, -444, 921, -14700, -10360, -1890
2539, -30, -452, 930, -14630, -11970, -4340
2559, -25, -466, 910, -9520, -11900, -6510
2579, -32, -499, 878, -4480, -15750, -7840
2599, -34, -518, 927, -3920, -15750, -10220
2619, -22, -544, 869, -3920, -13510, -12390
2639, -22, -517, 837, -13370, -9240, -11830
2659, -14, -520, 839, -14420, -16450, -9870
2679, -44, -538, 846, -17640, -17850, -10780
2699, -44, -537, 872, -20790, -16100, -10220
2719, -23, -535, 901, -22400, -15680, -6230
2739, -8, -536, 926, -21700, -11760, -4060
2759, -11, -535, 917, -16240, -6090, -5530
2779, -15, -547, 871, -7560, -3850, -7070
2799, -2, -557, 827, -1120, -4130, -6860
2819, 11, -541, 850, -2450, -5530, -4480
2839, 7, -541, 888, -8540, -6300, -1820
2859, -6, -534, 916, -11480, -4690, -1330
2879, -2, -543, 898, -9170, -4480, -910
2899, 22, -545, 856, -2870, -5110, 420
2919, 20, -547, 834, 1260, -4130, 980
2939, 26, -576, 819, 1890, -1750, 280
2959, 13, -544, 868, 4620, -4760, -3220
2979, 19, -512, 839, 5460, -7210, -5040
2999, 61, -514, 850, 12600, -14000, 2940
3019, -86, -488, 957, 9800, -13510, 70
3039, 213, 377, -11, 10220, -5460, 6580
3059, -1, 83, 36, -6860, 74900, 49700
3079, 164, 195, -225, -170380, 285320, 121030
3099, -99, 228, -158, -272160, 419650, 358680
3119, -217, -5, -291, -317590, 559020, 594860
3139, -219, -235, -395, -362390, 615300, 619360
3159, -97, 3, -197, -230160, 641900, 441490
3179, -306, -173, -191, -13720, 714980, 234290
3199, -264, -108, -156, -11550, 828100, 128940
3219, -199, 4, -149, 114310, 802690, 3150
3239, -130, 40, -143, 295330, 737170, -60480
3259, -134, 57, -281, 389830, 678230, -17640
3279, -169, 256, -11, 420910, 678300, 40250
3299, -164, -34, -247, 480550, 709730, 87010
3319, -271, -320, -537, 422450, 674310, 156030
3339, 35, -93, 285, 539140, 695030, 163800
3359, -764, -1998, 1029, 652680, 634200, 221130
3379, -1414, -1998, -1997, 40950, 367780, 477610
3399, 148, 683, 807, -1047480, 632590, -32340
3419, 19, 124, 505, 1348550, 773220, -714420
3439, -62, -27, 76, 577500, 127400, -194950
3459, 42, -94, -233, 199290, -513450, 254590
3479, -50, -135, -138, 95970, -662900, 534520
3499, -28, -45, -52, 161560, -467110, 677390
3519, -100, -32, -15, 370790, -374850, 767690
3539, -115, 59, 25, 321020, -190260, 748300
3559, -86, -5, -140, 150920, -10920, 658770
3579, -110, -52, -177, -93100, 174650, 529130
3599, -119, -1, -97, -202790, 367430, 401870
3619, -116, -56, -160, -183680, 493780, 304080
3639, -160, -128, -216, -134820, 514780, 271320
3659, -255, -278, -381, -45710, 537810, 234360
3679, -390, -280, -446, 6440, 667520, 100380
3699, -413, -162, -543, 129850, 847420, -101220
3719, -216, 24, -454, 418670, 937510, -262360
3739, 52, -387, -272, 817530, 838110, -239400
3759, -798, -1998, 403, 1071140, 597940, -2870
3779, 145, -1998, -1997, 683200, 129080, 321440
3799, 230, -1227, -1084, -678930, -250740, 64470
3819, -64, -547, -324, -347060, -180950, -317240
3839, -151, -344, -219, -293720, -286510, -164990
3859, -82, -188, -164, 56000, -478030, 38500
3879, -87, -214, -251, 189490, -550760, 18550
3899, -49, -81, -135, 186200, -477050, -54460
3919, -46, -14, -5, 195020, -360850, -152880
3939, 4, 42, 25, 120540, -203770, -255080
3959, 11, 37, 16, -7700, -132370, -263550
3979, -60, -85, -35, -142450, -146020, -183750
3999, -117, -220, -165, -245210, -312200, 66010
4019, -88, -459, -359, -235830, -363160, 67200
4039, -92, -731, -546, -147910, -314090, 1610
4059, -217, -1416, -1026, -50190, -74270, -184380
4079, -364, -1998, -1152, 105980, 312410, -478240
4099, 458, -1998, -1407, 273210, 493710, -627060
4119, -510, -1998, -1187, 193410, -418740, 23800
4139, -418, -1124, -813, -208250, -1012900, 262010
4159, -193, -580, -585, -245910, -930860, 11550
4179, -142, -361, -335, -200830, -713020, -129850
4199, -114, -237, -226, -241640, -444780, -283430
4219, -50, -151, -191, -261240, -285880, -408240
4239, -85, -189, -165, -210070, -230300, -397740
4259, -76, -159, -114, -111230, -228200, -353010
4279, -117, -229, -146, -26110, -293580, -293090
4299, -141, -373, -287, 15120, -377580, -233450
4319, -111, -479, -365, 69930, -400890, -258020
4339, -63, -631, -354, 156940, -362950, -308280
4359, -40, -1079, -374, 182840, -353290, -305970
4379, -109, -1998, -1113, -2520, -427980, -235410
4399, -64, -1998, -1997, -333760, -537600, -180670
4419, 9, -1601, -1049, -226520, -465430, -267190
4439, -66, -804, -438, 160230, -328300, -309260
4459, -60, -484, -221, 296030, -404040, -240450
4479, -99, -372, -147, 240730, -478310, -181790
4499, -49, -299, -190, 75740, -495390, -148190
4519, -40, -333, -255, -54670, -486150, -125300
4539, -31, -315, -221, -94850, -429590, -81970
4559, -42, -326, -171, -60690, -362530, -53690
4579, -52, -393, -204, -57400, -304290, -28070
4599, -49, -567, -345, -92470, -261170, -18620
4619, -45, -825, -519, -115290, -173600, -54950
4639, -39, -1182, -663, -66990, -33950, -131110
4659, 20, -1768, -792, 10920, 109130, -211820
4679, 71, -1998, -1021, 18620, 118510, -201600
4699, 15, -1609, -901, -57260, -57540, -72380
4719, -27, -1095, -611, -11130, -226100, 65100
4739, -33, -734, -344, 93590, -222110, 86730
4759, -34, -555, -244, 110180, -140910, 46270
4779, -17, -488, -257, 17430, -49000, -980
4799, -20, -472, -268, -62860, 38780, -31850
4819, -23, -469, -259, -76930, 125720, -45990
4839, -26, -494, -249, -41020, 180740, -37240
4859, -14, -541, -246, -3220, 198240, -5320
4879, -4, -702, -313, 14630, 177660, 49210
4899, -14, -985, -506, -1190, 129150, 126980
4919, -54, -1347, -768, -40530, 96320, 191660
4939, -69, -1515, -896, -68250, 148120, 180670
4959, -34, -1304, -717, -41300, 276710, 86170
4979, -8, -1002, -462, 39690, 369880, 14070
4999, -21, -808, -348, 81130, 333620, 57260
5019, -46, -705, -347, 30800, 237090, 152320
5039, -53, -643, -365, -42910, 180460, 212870
5059, -61, -624, -384, -68040, 184520, 222950
5079, -71, -634, -399, -37870, 226310, 206150
5099, -82, -662, -397, 22400, 289240, 173320
5119, -84, -713, -388, 78680, 356930, 134610
5139, -71, -804, -396, 98560, 406700, 106890
5159, -57, -935, -445, 68460, 427280, 99610
5179, -53, -1056, -509, 2450, 410200, 117810
5199, -59, -1127, -598, -69930, 358540, 154070
5219, -56, -1097, -622, -121450, 303030, 181020
5239, -52, -1003, -587, -110810, 278250, 180180
5259, -52, -889, -494, -29120, 271880, 173180
5279, -59, -805, -407, 78400, 261800, 177870
5299, -70, -773, -374, 139090, 242200, 191590
5319, -82, -763, -380, 118440, 235480, 191310
5339, -81, -749, -384, 42560, 267400, 157710
