T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1477, 397, 237, 925, 3290, 7490, -4340
1497, 408, 244, 926, 3710, 5250, -3080
1517, 401, 232, 910, 2730, 2520, -1120
1537, 381, 225, 901, 420, 3080, 0
1557, 367, 224, 923, 910, 2450, 70
1577, 384, 230, 927, 420, 2100, -1540
1597, 403, 234, 896, -1960, 3080, -2310
1617, 416, 231, 866, -2940, 3710, -1820
1637, 398, 230, 882, -560, 2800, -350
1657, 394, 237, 899, 2660, 490, 840
1677, 387, 232, 908, 3150, 1890, 630
1697, 377, 225, 902, 2870, 1750, 1260
1717, 382, 221, 891, 2030, 2520, 1330
1737, 388, 221, 889, 1820, 1540, 1260
1757, 378, 220, 907, 2590, 0, 420
1777, 380, 224, 923, 2030, 280, -2030
1797, 386, 227, 902, -1400, 3500, -5600
1817, 397, 233, 899, -3710, 7210, -7910
1837, 403, 241, 914, -3080, 7070, -6930
1857, 393, 246, 908, -1680, 4060, -5110
1877, 376, 243, 924, -1330, -420, -3780
1897, 373, 238, 907, -2030, 980, -3290
1917, 376, 231, 897, -3430, 2170, -3640
1937, 372, 225, 892, -3500, 770, -3570
1957, 354, 213, 880, -3990, 2730, -4060
1977, 346, 202, 881, -3850, 6370, -5880
1997, 349, 209, 861, -2450, 7420, -9310
2017, 350, 213, 859, -1400, 5600, -12950
2037, 342, 203, 875, 1190, 3780, -15610
2057, 307, 182, 860, 3290, 5180, -19110
2077, 265, 154, 816, 3850, 6860, -25830
2097, 261, 173, 829, 8610, 910, -34930
2117, 311, 224, 873, 18410, -7560, -46970
2137, 349, 264, 858, 24920, -5880, -53970
2157, 315, 273, 842, 26180, 70, -58170
2177, 236, 278, 838, 29260, 1330, -59150
2197, 203, 286, 881, 36820, -5110, -60410
2217, 260, 352, 895, 46830, 5880, -57960
2237, 319, 340, 1022, 51170, 16870, -67060
2257, 339, 460, 952, 48720, 3430, -78890
2277, 262, 436, 898, 40950, -24640, -87570
2297, 304, 477, 893, 39550, -32900, -79100
2317, 396, 543, 812, 38570, -20510, -74270
2337, 335, 569, 874, 39620, -13930, -62930
2357, 319, 653, 924, 43330, -8400, -47880
2377, 357, 628, 1444, 45080, 2240, -29400
2397, 435, 715, 930, 72800, 90580, 28420
2417, 345, 661, 873, 33530, 47950, 2730
2437, 537, 694, 838, 17360, 72730, 18130
2457, 226, 484, 821, 28770, -10500, 42560
2477, 255, 551, 782, -10850, -70910, 35910
2497, 211, 419, 878, -29820, -35630, 12110
2517, 357, 549, 988, -24640, 21980, -9800
2537, 475, 9, 1171, 49630, 51730, -46270
2557, 313, 495, 1105, 74970, 35770, -89250
2577, 101, 638, 873, 90370, 3430, -169820
2597, -46, 813, 855, 87220, -38360, -125720
2617, 202, 593, 688, 76930, -87150, -31010
2637, 184, 774, 700, 86870, -130200, 81690
2657, 244, 768, 658, 126560, -85190, 2450
2677, 235, 492, 479, 165760, -55370, -68460
2697, 158, 575, 470, 184310, -28770, -94850
2717, 210, 576, 483, 175560, -980, -129990
2737, 253, 587, 534, 156660, -1190, -117740
2757, 121, 631, 463, 145390, -4060, -117530
2777, 16, 675, 331, 147630, -8750, -130340
2797, -24, 749, 290, 139720, -22190, -130690
2817, -72, 778, 296, 94080, -32900, -131250
2837, -154, 805, 245, 70210, -27580, -145880
2857, -210, 874, 237, 61110, -24500, -155190
2877, -288, 959, 227, 52500, -24500, -155470
2897, -271, 923, 227, 42910, -21770, -145950
2917, -331, 916, 196, 38710, -21700, -138670
