T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1737, 132, -217, 908, 4620, -22260, 28070
1757, 143, -184, 853, -2870, -7910, 57540
1777, 131, -186, 886, -16100, 1050, 68740
1797, 33, -863, 735, -32060, 15400, 81410
1817, 125, -344, 870, -16940, 1960, 64120
1837, 16, -364, 909, 41720, 42910, 70700
1857, 206, -321, 875, 24500, 41090, 14910
1877, 214, -274, 808, 21910, 30940, -31150
1897, 27, -219, 837, 126560, -13160, -34510
1917, 37, -57, 1246, 305900, -64610, -19040
1937, 24, -63, 877, 230440, 28910, -62090
1957, -159, -82, 1021, 38080, 149870, -54880
1977, -65, 22, 882, 31920, 78120, -23730
1997, -130, -15, 958, 46550, 69090, -55790
2017, -200, -30, 1004, 48930, 74690, -53760
2037, -207, -37, 1098, 42700, 61040, -42070
2057, -225, -45, 1130, 37730, 39970, -36470
2077, -240, -83, 1119, 31500, 3710, -32690
2097, -185, -91, 1052, 19040, -12320, -35980
2117, -81, -115, 1082, 10710, 420, -45640
2137, -35, -71, 1151, 10920, 3640, -51940
2157, -37, 31, 1142, 5390, 13160, -58030
2177, -79, -15, 1262, -1190, 11830, -69720
2197, 65, -35, 1141, 8120, -44310, -100590
2217, 208, 86, 1120, -17080, -28490, -114170
2237, 233, 106, 1130, -34020, 50050, -95550
2257, 126, 58, 1213, -32340, 92050, -56420
2277, 98, 26, 1182, -29120, 54600, -16170
2297, 289, 133, 1143, -24710, -27720, -11480
2317, 256, 100, 1055, -23380, -34930, -24640
2337, 168, 36, 1055, -43960, 30030, -18550
2357, 142, 38, 837, -44170, 72940, 1680
2377, 117, 115, 1130, -50820, 38780, 21840
2397, 33, 37, 1040, -23170, -34790, 49140
2417, -201, -192, 717, -39690, 7630, 56980
2437, -231, -99, 726, -57120, 76160, 59500
2457, -263, -113, 824, -48720, 87920, 59080
2477, -406, -227, 845, -39690, 73290, 55020
2497, -1025, -1142, -297, -24640, 26110, 54320
2517, -383, -26, 1140, -490, 54040, 19390
2537, -295, -211, 858, -39200, 70350, 16590
2557, -317, -77, 664, -26250, 23450, 14140
2577, -393, -297, 1100, 48370, -10150, -21070
2597, -123, 153, 833, 30730, 9100, -27790
2617, -588, -238, 625, -28000, 74270, -4130
2637, -649, -286, 445, -21980, 78190, 7490
2657, -797, -618, 495, 2870, 69930, 12670
2677, -189, 238, 1381, 12530, 64260, -4340
2697, -54, 161, 1261, -6510, 68110, -70
2717, -341, -120, 839, -24920, 58800, 14280
2737, -489, -300, 667, -9730, 36680, 21910
2757, -355, -174, 865, -3920, 30940, 13510
2777, -350, -37, 941, -6160, 38430, 10920
2797, -407, -95, 975, -6720, 63840, 10080
2817, -504, 105, 705, -26600, 65240, 20930
2837, -675, -297, 788, -12460, 21420, 30240
2857, -470, -6, 984, 2240, -16100, 25550
2877, -625, -378, 711, 4690, -14910, 9450
2897, -513, -114, 853, -1820, 21980, -1260
2917, -571, -267, 468, -6160, 40670, 4690
2937, -485, -108, 760, -8120, 31080, 19180
2957, -536, -145, 773, 8050, 28000, 20510
2977, -521, -29, 720, 5880, 24220, 20930
2997, -807, -335, 567, 350, 52080, 19600
3017, -924, -434, 520, -6090, 57610, 17850
3037, -1000, -433, 249, 11270, 49840, -840
3057, -697, 0, 802, 32200, 35700, -17920
3077, -751, -122, 662, 51030, 38920, -24570
3097, -805, -188, 505, 24640, 60620, -31150
3117, -765, -181, 474, 11620, 60200, -26390
3137, -790, -189, 559, 24850, 30800, -16030
3157, -765, -183, 615, 30240, 24920, -19180
3177, -749, -164, 617, 37380, 26250, -26390
3197, -748, -132, 525, 43540, 10990, -33600
3217, -713, -98, 583, 56560, -1400, -37310
3237, -665, -7, 915, 82530, -17220, -31080
3257, -582, 39, 937, 81550, 7700, -26600
3277, -624, 23, 791, 41160, 73290, -24290
3297, -632, 4, 673, 27090, 62790, -22330
3317, -556, 26, 668, 35000, 26040, -19040
3337, -503, 102, 1013, 46970, 27790, -10780
3357, -598, 113, 1073, 47180, 67620, 630
3377, -759, 60, 803, 16310, 93240, 5600
3397, -818, 13, 689, 3080, 72310, 9450
3417, -755, 26, 810, 30310, 10150, 0
3437, -786, 122, 970, 53130, -26180, -19460
3457, -807, 146, 918, 28210, 23240, -30730
3477, -671, 232, 715, -5390, 67060, -29260
3497, -943, -45, 668, -18760, 60550, 6580
3517, -969, -22, 596, -6440, -7700, 56140
3537, -968, -57, 614, -3780, 1960, 32760
3557, -1014, -17, 444, -9100, 19600, 17080
3577, -1056, -121, 243, -17640, 58870, -15050
3597, -926, -75, 274, -14980, 90020, -40180
3617, -755, 59, 261, 11130, 64680, -44170
3637, -757, 99, 424, 40110, 13510, -33810
3657, -836, 42, 434, 63210, -18620, -21840
3677, -877, 13, 387, 61810, -15680, -15260
3697, -842, 26, 358, 62580, -4550, -15050
3717, -761, 93, 415, 69790, -5600, -15680
3737, -758, 185, 593, 87360, -10080, -18760
3757, -883, 151, 666, 96530, -3290, -19670
3777, -957, 54, 597, 73640, 31570, -16800
3797, -1017, 37, 396, 55790, 46060, -11620
3817, -833, 30, 204, 54530, 26810, -26040
3837, -921, -282, -226, 80990, -62020, -22960
3857, -707, -261, -546, 218120, -89740, -110600
3877, -1059, -62, -752, 555800, 178080, -341460
3897, -1012, 194, -752, 896910, 779940, -585130
3917, -754, 408, -544, 1079750, 1214850, -692370
3937, -628, 343, -559, 1158080, 1349600, -511280
3957, -916, 103, -724, 1066520, 1347150, -110390
3977, -1206, -190, -788, 821660, 1459500, 247520
3997, -1134, -351, -708, 599690, 1609650, 439320
4017, -1277, -869, -870, 527730, 1536220, 535570
4037, -1335, -1360, -1334, 531230, 1272530, 664860
4057, -1512, -1168, -1211, 662480, 992950, 710920
4077, -1384, -858, -745, 717080, 1108870, 598990
4097, -993, -639, -562, 462280, 1453060, 451150
4117, -798, -484, -344, 234780, 1395100, 442890
4137, -681, -533, -400, 287980, 958650, 619220
4157, -647, -559, -624, 452200, 554120, 717920
4177, -746, -490, -714, 648480, 355110, 635600
4197, -824, -464, -724, 867860, 424200, 386470
4217, -816, -459, -607, 1000580, 613760, 88620
4237, -734, -619, -418, 985250, 798000, -69230
4257, -916, -1112, -584, 827680, 902020, -32130
4277, -1134, -1486, -869, 238210, 699160, 463190
4297, -1004, -1310, -718, 175560, 613550, 462350
4317, -685, -873, -336, 250810, 534940, 329490
4337, -609, -760, -319, 251650, 334180, 396200
4357, -578, -701, -330, 237860, 126700, 514010
4377, -497, -635, -350, 256970, 81410, 469280
4397, -514, -621, -363, 284620, 142660, 346080
4417, -537, -607, -364, 282030, 276710, 174580
4437, -547, -574, -309, 265720, 420560, -11130
4457, -493, -527, -187, 225960, 510720, -131110
4477, -450, -550, -139, 143990, 471240, -100590
4497, -511, -662, -168, 47390, 294210, 57890
4517, -685, -953, -425, -45710, 56210, 246960
4537, -796, -1176, -620, -48160, -107520, 296590
4557, -729, -1080, -561, 55230, -85120, 95340
4577, -642, -880, -346, 138600, 29400, -158900
4597, -552, -780, -263, 95970, 92750, -271390
4617, -529, -726, -228, 4480, 1120, -214340
4637, -554, -711, -282, -77980, -176540, -78050
4657, -616, -759, -375, -135380, -332570, 9310
4677, -598, -728, -394, -157430, -383040, -34230
4697, -587, -696, -365, -134960, -365050, -176680
4717, -585, -690, -353, -118020, -326620, -314650
4737, -610, -735, -349, -145180, -305060, -393330
4757, -680, -871, -420, -250460, -272300, -422310
4777, -849, -1086, -563, -361690, -279510, -405020
4797, -971, -1215, -689, -380310, -369460, -383950
4817, -948, -1159, -680, -294980, -513380, -413140
4837, -783, -938, -529, -254170, -595280, -468790
4857, -730, -822, -527, -396830, -575330, -456750
4877, -768, -813, -607, -602630, -580090, -329070
4897, -773, -820, -642, -668290, -643230, -204610
4917, -707, -794, -608, -620200, -670950, -187950
4937, -647, -732, -512, -552020, -620760, -250880
4957, -647, -737, -492, -507150, -554680, -307720
4977, -698, -785, -502, -479990, -552230, -294910
4997, -766, -856, -565, -443870, -616840, -231490
5017, -794, -906, -620, -397250, -713230, -164010
5037, -750, -882, -611, -342160, -775530, -143990
5057, -663, -778, -526, -309890, -746340, -191870
5077, -595, -666, -438, -313740, -671790, -245490
5097, -568, -591, -397, -336000, -628250, -243180
5117, -566, -574, -407, -355390, -635180, -194040
5137, -538, -562, -412, -345450, -658560, -152390
5157, -479, -530, -378, -314370, -642740, -164360
5177, -430, -495, -332, -293510, -561050, -224630
5197, -400, -467, -277, -285180, -455910, -285810
5217, -388, -460, -253, -277340, -383880, -299950
5237, -406, -493, -269, -263690, -380030, -249060
5257, -430, -560, -318, -244720, -421470, -157570
5277, -448, -644, -368, -220150, -456820, -75250
5297, -453, -700, -387, -190470, -438550, -42070
5317, -452, -722, -373, -159460, -361060, -61460
5337, -463, -741, -355, -134960, -263830, -96320
5357, -471, -776, -363, -115150, -201670, -102830
5377, -496, -839, -405, -92260, -194110, -66780
5397, -515, -883, -435, -68880, -202930, -11550
5417, -525, -891, -432, -35910, -197680, 28560
5437, -523, -895, -438, 14700, -182840, 45850
5457, -508, -893, -446, 70420, -171710, 52150
5477, -502, -893, -441, 112700, -146510, 52010
5497, -528, -928, -449, 115710, -85050, 52220
5517, -585, -1012, -479, 78260, -1820, 64750
5537, -638, -1109, -536, 48510, 49350, 94290
5557, -678, -1198, -593, 78750, 31150, 133350
5577, -695, -1249, -628, 150290, -15890, 165270
5597, -704, -1248, -615, 196350, -16170, 172200
